#Model structure
# k lgTauR     Depth     T        Pe          Pg         Prad       Pturb
1 -5.00 -6.931E+07  4066.8  2.1166E-02  2.6699E+02  1.4884E+00  0.0000E+00
2 -4.80 -6.672E+07  4102.6  2.7299E-02  3.4586E+02  1.4886E+00  0.0000E+00
3 -4.60 -6.411E+07  4145.9  3.5324E-02  4.4694E+02  1.4889E+00  0.0000E+00
4 -4.40 -6.149E+07  4190.4  4.5691E-02  5.7706E+02  1.4892E+00  0.0000E+00
5 -4.20 -5.884E+07  4235.5  5.9048E-02  7.4443E+02  1.4896E+00  0.0000E+00
6 -4.00 -5.618E+07  4280.8  7.6224E-02  9.5958E+02  1.4902E+00  0.0000E+00
7 -3.80 -5.349E+07  4326.1  9.8282E-02  1.2360E+03  1.4909E+00  0.0000E+00
8 -3.60 -5.078E+07  4371.3  1.2657E-01  1.5911E+03  1.4919E+00  0.0000E+00
9 -3.40 -4.805E+07  4416.3  1.6281E-01  2.0469E+03  1.4931E+00  0.0000E+00
10 -3.20 -4.530E+07  4461.0  2.0918E-01  2.6317E+03  1.4947E+00  0.0000E+00
11 -3.00 -4.253E+07  4504.9  2.6833E-01  3.3817E+03  1.4970E+00  0.0000E+00
12 -2.90 -4.118E+07  4527.4  3.0391E-01  3.8327E+03  1.4984E+00  0.0000E+00
13 -2.80 -3.981E+07  4549.5  3.4404E-01  4.3432E+03  1.5001E+00  0.0000E+00
14 -2.70 -3.844E+07  4571.5  3.8937E-01  4.9211E+03  1.5020E+00  0.0000E+00
15 -2.60 -3.707E+07  4593.5  4.4056E-01  5.5753E+03  1.5044E+00  0.0000E+00
16 -2.50 -3.569E+07  4615.6  4.9838E-01  6.3157E+03  1.5072E+00  0.0000E+00
17 -2.40 -3.431E+07  4637.8  5.6371E-01  7.1537E+03  1.5105E+00  0.0000E+00
18 -2.30 -3.292E+07  4660.2  6.3756E-01  8.1021E+03  1.5144E+00  0.0000E+00
19 -2.20 -3.152E+07  4682.9  7.2109E-01  9.1751E+03  1.5192E+00  0.0000E+00
20 -2.10 -3.012E+07  4706.0  8.1568E-01  1.0389E+04  1.5250E+00  0.0000E+00
21 -2.00 -2.871E+07  4729.9  9.2301E-01  1.1763E+04  1.5319E+00  0.0000E+00
22 -1.90 -2.730E+07  4754.7  1.0449E+00  1.3316E+04  1.5404E+00  0.0000E+00
23 -1.80 -2.588E+07  4780.9  1.1840E+00  1.5074E+04  1.5506E+00  0.0000E+00
24 -1.70 -2.445E+07  4808.6  1.3429E+00  1.7060E+04  1.5631E+00  0.0000E+00
25 -1.60 -2.302E+07  4838.3  1.5251E+00  1.9307E+04  1.5784E+00  0.0000E+00
26 -1.50 -2.158E+07  4870.5  1.7351E+00  2.1845E+04  1.5970E+00  0.0000E+00
27 -1.40 -2.013E+07  4905.9  1.9786E+00  2.4714E+04  1.6198E+00  0.0000E+00
28 -1.30 -1.868E+07  4944.1  2.2607E+00  2.7953E+04  1.6478E+00  0.0000E+00
29 -1.20 -1.721E+07  4988.1  2.5945E+00  3.1610E+04  1.6822E+00  0.0000E+00
30 -1.10 -1.573E+07  5034.4  2.9831E+00  3.5735E+04  1.7243E+00  0.0000E+00
31 -1.00 -1.425E+07  5088.6  3.4525E+00  4.0385E+04  1.7762E+00  0.0000E+00
32 -0.90 -1.275E+07  5148.5  4.0172E+00  4.5619E+04  1.8401E+00  0.0000E+00
33 -0.80 -1.124E+07  5216.8  4.7142E+00  5.1496E+04  1.9189E+00  0.0000E+00
34 -0.70 -9.728E+06  5294.4  5.5939E+00  5.8068E+04  2.0158E+00  0.0000E+00
35 -0.60 -8.210E+06  5382.5  6.7372E+00  6.5369E+04  2.1359E+00  0.0000E+00
36 -0.50 -6.700E+06  5483.1  8.2870E+00  7.3392E+04  2.2843E+00  0.0000E+00
37 -0.40 -5.215E+06  5597.1  1.0474E+01  8.2062E+04  2.4682E+00  0.0000E+00
38 -0.30 -3.776E+06  5727.4  1.3720E+01  9.1213E+04  2.6964E+00  0.0000E+00
39 -0.20 -2.411E+06  5875.7  1.8744E+01  1.0058E+05  2.9803E+00  0.0000E+00
40 -0.10 -1.146E+06  6044.3  2.6799E+01  1.0983E+05  3.3345E+00  0.0000E+00
41  0.00  0.000E+00  6235.2  4.0062E+01  1.1865E+05  3.7770E+00  0.0000E+00
42  0.10  1.015E+06  6451.9  6.2545E+01  1.2677E+05  4.3311E+00  0.0000E+00
43  0.20  1.898E+06  6694.8  1.0098E+02  1.3399E+05  5.0275E+00  0.0000E+00
44  0.30  2.648E+06  6983.3  1.7239E+02  1.4018E+05  5.9069E+00  0.0000E+00
45  0.40  3.266E+06  7314.8  3.0484E+02  1.4523E+05  6.9905E+00  0.0000E+00
46  0.50  3.778E+06  7618.2  4.9491E+02  1.4936E+05  8.2076E+00  0.0000E+00
47  0.60  4.229E+06  7876.9  7.2951E+02  1.5296E+05  9.4596E+00  0.0000E+00
48  0.70  4.651E+06  8097.7  9.9924E+02  1.5632E+05  1.0668E+01  0.0000E+00
49  0.80  5.063E+06  8290.4  1.2998E+03  1.5959E+05  1.1803E+01  0.0000E+00
50  0.90  5.478E+06  8462.6  1.6307E+03  1.6288E+05  1.2869E+01  0.0000E+00
51  1.00  5.907E+06  8620.2  1.9943E+03  1.6628E+05  1.3888E+01  0.0000E+00
52  1.20  6.851E+06  8903.8  2.8264E+03  1.7366E+05  1.5838E+01  0.0000E+00
53  1.40  7.926E+06  9168.5  3.8577E+03  1.8218E+05  1.7811E+01  0.0000E+00
54  1.60  9.171E+06  9424.6  5.1514E+03  1.9224E+05  1.9890E+01  0.0000E+00
55  1.80  1.063E+07  9678.4  6.7920E+03  2.0431E+05  2.2122E+01  0.0000E+00
56  2.00  1.234E+07  9934.3  8.8917E+03  2.1892E+05  2.4556E+01  0.0000E+00
